name	n_dependents	n_tp_dependents	own_download_count
antlr4-python3-runtime	15	4	36393091
inquirerpy	5	4	3901802
jaxtyping	12	4	4446046
openinference-semantic-conventions	24	4	3736354
isort	10	4	83644003
texttable	7	4	19711315
opentelemetry-instrumentation-threading	6	4	26224239
bitstring	7	4	4573870
uvloop	13	4	95792495
bottleneck	4	4	8250986
json5	16	4	45001781
ray	13	4	50616819
markdownify	12	4	18298339
types-python-dateutil	7	4	42848465
vtk	6	4	1539148
dacite	18	4	21367140
pygithub	18	4	60446942
asn1	4	4	953888
s3fs	10	4	564128617
pyright	7	4	23332072
fire	17	4	14849592
mako	14	4	109622947
jellyfish	6	4	11432759
h2	12	4	69565264
bokeh	7	4	6093650
html5lib	21	4	26787215
wcwidth	16	4	168368432
ply	18	4	75443203
aws-cdk-lib	37	4	4563727
clickhouse-driver	8	4	7631332
dpath	9	4	7040606
zipp	12	4	372545590
dbt-protos	5	4	29438697
jedi	10	4	91253012
python-docx	18	4	30002492
openinference-instrumentation	22	4	3574557
google-auth-httplib2	18	4	107062022
neo4j	12	4	7563140
lief	5	4	998173
rfc3339-validator	6	4	60847540
genson	5	3	12798350
opencv-contrib-python	6	3	7680334
url-normalize	4	3	5555482
meson	3	3	12038987
setproctitle	19	3	32674491
wasabi	3	3	15591682
uuid7	5	3	4060666
bottle	8	3	8767643
dynaconf	6	3	4637726
colorcet	4	3	1324869
license-expression	7	3	11222139
timm	11	3	9975228
peewee	6	3	22574291
google-crc32c	9	3	128184949
zope-deferredimport	4	3	334027
pydata-google-auth	3	3	24115122
wsproto	9	3	59260777
psycopg2-binary	30	3	178816947
eth-utils	21	3	5812602
versioningit	3	3	1529711
iso8601	14	3	9364276
num2words	6	3	5648102
subprocess-tee	3	3	3505584
flatbuffers	24	3	44080689
aiortc	6	3	1654121
opt-einsum	15	3	19043145
tuspy	4	3	587766
reportlab	8	3	22009799
sparse	4	3	1303667
grpclib	9	3	16577784
moreorless	4	3	2520304
xlsxwriter	12	3	56473318
standard-aifc	5	3	1662421
factory-boy	6	3	15385689
intervaltree	7	3	4101049
validators	18	3	23654342
pytest-timeout	4	3	37182213
dockerfile-parse	5	3	4887542
halo	6	3	651438
snakemake-interface-common	7	3	242476
zope-component	17	3	479663
strawberry-graphql	3	3	4694596
scalecodec	4	3	487262
mergedeep	6	3	27710483
vivisect	3	3	109881
msal	20	3	149057900
bs4	10	3	21800049
gevent	17	3	35049151
mpmath	7	3	93410756
graphql-core	17	3	52979482
rank-bm25	6	3	3443857
opentelemetry-proto	14	3	237301325
configparser	18	3	10617735
ciso8601	6	3	10938175
hexdump	3	3	324282
python-frontmatter	7	3	3416131
update-checker	3	3	1428130
catalogue	6	3	16292890
progressbar2	8	3	21957658
ansible-builder	4	3	206607
uuid6	5	3	10261683
restrictedpython	6	3	1586410
rdflib	15	3	10156792
configobj	10	3	6873495
coolname	4	3	3672430
geojson	8	3	4244216
textual	19	3	134773724
selenium	24	3	46829641
pre-commit	11	3	95822352
snowflake-sqlalchemy	7	3	60653480
azure-storage-blob	24	3	107129835
types-deprecated	4	3	12607784
qpsolvers	4	3	433042
tree-sitter-javascript	4	3	4855944
cyclopts	4	3	38545423
pygls	5	3	1054651
debugpy	6	3	74926697
azure-core	75	3	157048013
netaddr	24	3	9255326
flatten-dict	4	3	4141686
tokenize-rt	6	3	5674218
hyperlink	5	3	19110665
pysignalr	4	3	525153
zope-schema	16	3	535203
groq	6	3	9420107
unidiff	6	3	14662337
chromadb	8	3	11243051
qrcode	8	3	11482702
ifaddr	9	3	3906086
mistralai	6	2	11706931
typeshed-client	2	2	1732137
jaraco-functools	7	2	121341209
google-cloud-firestore	2	2	23987426
opentelemetry-instrumentation-requests	9	2	87858116
progress	6	2	1877278
eth-account	9	2	6818069
picklescan	2	2	72556
portpicker	5	2	1773057
casadi	3	2	473264
zc-lockfile	4	2	1943525
tensorboard	22	2	26663876
opentelemetry-exporter-otlp-proto-grpc	12	2	200870366
httptools	3	2	86974692
dotty-dict	2	2	2006500
curl-cffi	6	2	16186770
marisa-trie	2	2	5576564
retry	9	2	32438696
junitparser	4	2	29013882
redisvl	4	2	1497351
cel-python	2	2	2872895
pyerfa	2	2	3035113
psycopg-pool	3	2	13414336
azure-mgmt-resource	5	2	19538220
pydeck	2	2	17888734
django-ipware	3	2	3031524
docopt-ng	3	2	515242
mdformat-gfm	3	2	615815
markdown2	9	2	5230412
typing	16	2	5452407
bittensor-wallet	2	2	284285
ddgs	3	2	1482695
atomicwrites-homeassistant	2	2	198867
flask-login	6	2	18740359
hbreader	2	2	89269
e3nn	4	2	608217
dash	19	2	7166625
pyro-ppl	2	2	979205
tblib	7	2	24137822
pymatgen-io-validation	2	2	426155
scooby	5	2	1137498
sqlparams	3	2	5414659
webencodings	6	2	82749465
pyaes	4	2	2292665
zope-publisher	12	2	144634
banal	2	2	1462934
pysbd	6	2	1033621
pylogix	2	2	50562
twilio	7	2	14104805
nautobot	2	2	195363
enum-tools	2	2	459401
multipart	7	2	5837616
deepmerge	5	2	6580815
trafaret	4	2	1042853
devpi-client	2	2	212046
ecos	2	2	803147
nanobind	2	2	4559275
boto3-stubs	5	2	53099385
peft	11	2	8302149
nest-asyncio2	2	2	551464
gcsfs	9	2	97662579
giturlparse	6	2	5475458
python-box	15	2	6587369
oci	4	2	6348029
opentelemetry-resourcedetector-gcp	6	2	12539293
pympler	4	2	5910290
probableparsing	2	2	3438171
cron-descriptor	5	2	16856418
requests-futures	7	2	2836875
readchar	4	2	9007830
pyicu	2	2	342451
prometheus-fastapi-instrumentator	5	2	10149511
chevron	7	2	7940828
flask-principal	2	2	239512
lazy-object-proxy	6	2	33875345
pytest-cov	11	2	125305202
asgi-lifespan	2	2	6182647
redshift-connector	3	2	48363867
screeninfo	4	2	3167901
unstructured-client	3	2	8613233
asyncssh	7	2	11608760
lazy-model	2	2	1946612
netcdf4	5	2	2978384
plugincode	2	2	69816
prefixmaps	2	2	106392
distlib	3	2	213207419
patch-ng	2	2	2317042
tifffile	10	2	16331628
pytube	3	2	2583420
pytimeparse	7	2	24995044
python-gnupg	2	2	14861213
click-didyoumean	6	2	35236128
parameterized	5	2	14933947
puremagic	10	2	3343426
dncil	3	2	339595
prefixcommons	2	2	88618
django-crispy-forms	4	2	2193356
pkginfo	6	2	72821800
openqasm3	3	2	283354
tablib	3	2	3736797
orbax-checkpoint	3	2	7222635
cohere	5	2	14184304
vispy	2	2	400892
npe2	2	2	128345
pathlib	8	2	6494932
pycodestyle	9	2	63666747
klujax	2	2	103455
python-crfsuite	4	2	4148741
zope-location	10	2	149739
sqlalchemy-bigquery	6	2	46916258
pyobjc	7	2	470956
wagtail	3	2	582453
sgqlc	3	2	2077272
cvxpy	4	2	2998987
bleach	15	2	54985021
xlwt	6	2	5744704
spdx-tools	2	2	2615531
detect-secrets	2	2	2733063
standard-sunau	3	2	591547
bitstruct	4	2	2603873
pypinyin	4	2	1104169
aiocache	5	2	8228152
polib	7	2	4416076
certbot	6	2	759357
userpath	3	2	18134533
icmplib	2	2	449510
robotframework	29	2	4290175
findpython	2	2	44006621
jq	2	2	4603120
capstone	6	2	1697462
wasmtime	4	2	658519
waitress	13	2	7080456
web3	5	2	5174798
text-unidecode	5	2	56375031
base58	10	2	4142914
ml-collections	6	2	1852100
clickhouse-connect	4	2	14915207
pytest-json-report	2	2	7564182
patsy	8	2	25429434
josepy	4	2	1485252
pybtex	4	2	1371941
acme	6	2	7724494
tensorflow-probability	2	2	810032
pyspark	10	2	46831373
aiocoap	2	2	120372
python-magic-bin	4	2	150784
gymnasium	7	2	5444790
notebook-shim	3	2	33010646
pytesseract	6	2	11489760
annotated-types	12	2	425713004
tensorflow	18	2	19701649
large-image	16	2	85470
nose	3	2	8991679
cli-helpers	3	2	863920
morecantile	5	2	311773
ldap3	10	2	12988595
pyasn1-modules	13	2	283880829
oscrypto	5	2	19795466
py-consul	2	2	591166
pytest-metadata	3	2	24408102
cached-property	22	2	18301188
django-filter	7	2	10573829
bidict	5	2	17357690
mujoco	4	2	913844
colorful	2	2	12155871
colored-traceback	2	2	196354
mutagen	2	2	2333946
torchaudio	19	2	15119089
tables	3	2	1885324
kombu	5	2	40791327
python-pptx	7	2	16684888
preliz	2	2	116550
ibm-watsonx-ai	4	2	1336409
pymodbus	2	2	909303
jsonasobj2	2	2	86327
trailrunner	3	2	2182276
python-decouple	4	2	7160456
simple-pid	2	2	1510318
pyreadline3	10	2	6622359
requests-ntlm	5	2	10389723
bibtexparser	2	2	671833
qdrant-client	5	2	11174438
nh3	9	2	29017799
pytokens	2	2	50485895
pprintpp	4	2	8455699
executing	8	2	88894738
launchdarkly-eventsource	3	2	5860805
saneyaml	2	2	111509
bashlex	5	2	8054614
argparse-dataclass	3	2	361382
pystache	3	2	3738898
anyascii	7	2	4092747
umap-learn	6	2	4413758
pylatexenc	6	2	2953723
rapidocr-onnxruntime	2	2	523149
pyxdg	5	2	1249469
gql	7	2	15978302
btsocket	2	2	176923
dictdiffer	7	2	7467519
pyflakes	6	2	49812828
alive-progress	5	2	2973834
opentelemetry-instrumentation-aiohttp-client	8	2	9343712
pynput	5	2	1325342
requests-file	9	2	63456886
h5netcdf	5	2	3528771
cloup	3	2	643445
xgboost	4	2	35461155
types-toml	4	2	19067734
sqlite-utils	3	2	627976
sly	6	2	2240862
appnope	2	2	10321547
pg8000	4	2	40211652
types-pytz	4	2	28719374
qwix	2	2	399408
amplitude-analytics	3	2	3462567
dbt-semantic-interfaces	3	2	21870158
wait-for2	2	2	186502
backports-entry-points-selectable	2	2	330219
python-jose	12	2	30565279
leb128	3	1	3012943
python-subunit	2	1	684236
parso	4	1	93124964
msgraph-sdk	1	1	4879010
magicattr	1	1	5611501
bpy	1	1	115218
fastar	1	1	10729121
azure-mgmt-compute	2	1	11723175
rignore	1	1	14517055
reretry	2	1	308294
libusb-package	3	1	854084
pyang	1	1	439958
opentelemetry-instrumentation-urllib3	5	1	24434059
binapy	2	1	569174
gpytorch	1	1	777004
cons	3	1	574679
uritools	1	1	6761940
cloudflare	3	1	9700544
nglview	1	1	228510
docx2txt	2	1	6217415
respx	2	1	6985962
torchsde	1	1	2653166
dargs	1	1	80258
pastedeploy	5	1	2581901
img2pdf	1	1	1348440
flexparser	1	1	3426128
jsonschema-pydantic	1	1	299317
unix-ar	1	1	201788
ufolib2	3	1	50797
azure-mgmt-containerinstance	3	1	11545849
htmlmin2	1	1	991822
opentsne	1	1	63010
intel-cmplr-lib-rt	2	1	321836
types-dateparser	1	1	1865728
ansible-runner	2	1	852653
json-flattener	1	1	86347
sanic-cors	2	1	127738
django-sekizai	2	1	273041
click-spinner	3	1	2864567
pgvector	4	1	14284738
tfp-nightly	1	1	235483
result	2	1	1985128
streamlit-autorefresh	1	1	375030
python-ranges	1	1	119664
pyct	1	1	468638
multi-storage-client	1	1	335737
triton	11	1	43182099
sphinxcontrib-qthelp	1	1	20763891
pymatgen-analysis-alloys	1	1	343295
port-for	5	1	4724943
plpygis	1	1	674979
editorconfig	1	1	6380227
gpxpy	1	1	238497
doroutes	1	1	87565
cachey	1	1	136046
azure-mgmt-monitor	2	1	7897259
mozilla-repo-urls	1	1	465441
frictionless	1	1	763875
jinja2-simple-tags	2	1	2406361
kgb	1	1	5353391
allure-pytest	1	1	5322892
metaflow-torchrun	1	1	49947
eth-typing	12	1	5722443
numerize	1	1	69690
httpretty	1	1	968029
aiocontextvars	1	1	299859
nvidia-cublas-cu12	5	1	43765519
azure-mgmt-databricks	1	1	491767
eccodeslib	2	1	369549
zope-cachedescriptors	3	1	114005
microsoft-kiota-abstractions	10	1	9012162
pypydispatcher	1	1	615513
requests-mock	2	1	19586686
jamo	3	1	803729
daemonize	1	1	268215
google-events	1	1	407932
pyarrow-hotfix	3	1	10794671
pymediainfo-pyrofork	1	1	172726
ddtrace	4	1	30235659
pika	5	1	9910435
azure-ai-inference	1	1	3184604
slicer	1	1	10830056
ipsw-parser	1	1	183577
mda-xdrlib	2	1	1027224
traceback2	1	1	1161823
azure-mgmt-dns	1	1	2819187
traits	3	1	751255
arcadepy	1	1	113129
azure-mgmt-recoveryservicesbackup	2	1	6842628
napari-console	1	1	119909
pytest-benchmark	1	1	8315492
python-stdnum	5	1	2727742
roman	3	1	1263621
cabarchive	1	1	47877
iamdata	1	1	132997
rlpycairo	2	1	2546787
find-libpython	1	1	471029
inquirer	6	1	4188299
pygit2	4	1	3811084
websockify	1	1	269604
macaroonbakery	2	1	330874
django-polymorphic	1	1	1596197
phonenumbers	6	1	22824685
opentelemetry-exporter-otlp-proto-common	5	1	161486684
ecpy	2	1	149219
session-info	1	1	1182421
fastrlock	1	1	3274328
python-socks	3	1	3516288
boolean-py	2	1	11228352
usort	1	1	2105745
cuid	1	1	678624
crontab	1	1	2065465
jaxopt	2	1	415451
asyncstdlib	1	1	2114461
azure-cosmos	5	1	23046238
resampy	3	1	1894370
pykwalify	4	1	2882406
colorspacious	1	1	121015
cvprac	1	1	151626
glob2	1	1	841830
types-docutils	2	1	9784107
treescope	1	1	2277308
parameter-expansion-patched	1	1	67168
pygnuutils	1	1	181512
types-aws-xray-sdk	1	1	470323
