name	n_dependents	n_tp_dependents	own_download_count
graphene-sqlalchemy	1	1	367259
in-toto-attestation	1	1	139355
opentelemetry-util-http	16	1	90333339
promise	4	1	2502299
openapi3	1	1	161638
mermaid-builder	1	1	437139
geoarrow-pandas	1	1	116079
voluptuous-serialize	1	1	229786
readabilipy	1	1	745387
cvss	1	1	1329136
sphinx-basic-ng	1	1	2175473
voluptuous-openapi	1	1	156798
twitter-common-contextutil	1	1	51452
astropy-iers-data	1	1	2926601
isosurfaces	1	1	96368
zexceptions	3	1	103399
pytransform3d	1	1	181617
zope-dottedname	2	1	211056
httpx-auth	1	1	619716
flask-restx	3	1	2441344
webob	18	1	4887565
pykakasi	2	1	1172462
opentelemetry-instrumentation-logging	4	1	16806216
adbc-driver-flightsql	1	1	144095
pyshexc	1	1	81691
opentelemetry-resource-detector-containerid	1	1	94705
drf-access-policy	1	1	83838
pipmaster	1	1	111968
pytest-rerunfailures	4	1	25663680
packvers	1	1	75136
rfc3986-validator	1	1	36544215
palettable	3	1	1199669
outcome	5	1	40694522
cloudsmith-api	1	1	168928
hypothesis	8	1	20982553
jsonschema-typed-v2	1	1	57622
spacy-loggers	1	1	15013654
parsimonious	5	1	6305934
esp-coredump	1	1	1037661
openstacksdk	8	1	1217465
opentelemetry-instrumentation-fastapi	6	1	41153353
pyjson5	2	1	2873765
pynndescent	4	1	4468000
pdf2image	5	1	11902146
flyteidl	2	1	566131
clusterscope	1	1	395649
msgpack-numpy-opentensor	1	1	226722
spacy-legacy	1	1	15199053
pip-system-certs	2	1	4644867
async-asgi-testclient	1	1	174826
pycrashreport	1	1	182390
fugue	2	1	2953902
codeflash-benchmark	1	1	113440
scarf-sdk	2	1	242551
mnemonic	4	1	512540
submitit	3	1	1792093
cftime	3	1	2809097
pot	1	1	361247
exit-codes	1	1	78361
django-timezone-field	2	1	5618155
win-unicode-console	2	1	169504
tree-sitter-yaml	2	1	5602316
stix2	2	1	746872
visions	1	1	1075029
hidapi	3	1	810029
pytrec-eval-terrier	2	1	613804
nvidia-cuda-runtime-cu12	2	1	39823478
hdbcli	3	1	2323421
debian-inspector	2	1	90151
intelhex	3	1	4064352
pycairo	3	1	3429223
pastel	2	1	4242104
varname	2	1	365520
alibabacloud-actiontrail20200706	1	1	70518
blockbuster	1	1	2199621
django-guid	1	1	179649
html5tagger	2	1	1582264
cron-converter	2	1	1891933
redo	1	1	532658
geoarrow-pyarrow	1	1	159542
invisible-watermark	1	1	193348
events	3	1	68625473
zope-traversing	9	1	116163
rpyc	2	1	953868
azure-storage-queue	2	1	30281407
parsy	1	1	2143121
openlineage-airflow	1	1	5285967
pysmartdl	1	1	176928
ezdxf	2	1	1219005
lmfit	2	1	811507
stripe	4	1	19822558
robotframework-pythonlibcore	4	1	2087337
dbt-artifacts-parser	1	1	231131
types-psycopg2	1	1	5362623
mrcfile	1	1	1055927
ndjson	1	1	2025515
minio	2	1	7632820
pynrrd	1	1	86198
x-transformers	1	1	1246747
smolagents	1	1	396120
tensorboardx	4	1	4410171
opentelemetry-instrumentation-redis	3	1	10694202
cart	4	1	317534
azure-ai-formrecognizer	1	1	1514388
gensim	1	1	4560313
simpleeval	8	1	15717400
adlfs	4	1	11187390
codefind	2	1	659771
asttokens	10	1	86671185
python-mecab-ko-dic	1	1	254403
packbits	1	1	54072
rapidyaml	1	1	115312
pyramid	9	1	2189775
pyshp	3	1	4448058
eth-abi	7	1	6906510
curies	4	1	172244
jsonstreams	1	1	114210
onnxruntime-gpu	1	1	3363269
lightgbm	3	1	11661283
plotly-express	1	1	1545083
open-clip-torch	1	1	2785653
minidump	1	1	106584
markitdown	5	1	2315075
matscipy	2	1	643064
cligj	4	1	6729006
reedsolo	1	1	1861942
roboflow	3	1	3325059
uptime	1	1	233456
shodan	1	1	255318
kornia	3	1	2505754
pyphonetics	1	1	58303
applicationinsights	4	1	9863315
spotipy	1	1	381025
click-command-tree	1	1	201467
contextvars	5	1	1384669
django-treebeard	3	1	999918
icalendar	4	1	7514601
columnar	1	1	1349613
starlette-exporter	2	1	1293414
agentops	1	1	548211
azure-mgmt-keyvault	4	1	9263332
urwid-readline	1	1	343938
nixl	2	1	756463
strictyaml	5	1	16922309
keras	11	1	15549255
jcs	1	1	579437
llama-index-llms-azure-openai	2	1	533154
zope-size	2	1	110546
python-pcapng	1	1	208584
dparse2	1	1	75935
blessed	7	1	8787290
pandas-redshift	1	1	94466
shiny	4	1	238240
aiohttp-asgi-connector	1	1	104239
causal-learn	1	1	107946
kedro	4	1	640026
biothings-client	1	1	1757883
gwdatafind	1	1	114659
pyjsg	1	1	82654
drf-spectacular	3	1	7790592
ob-metaflow	1	1	100471
jupyter	4	1	14437307
pyshex	1	1	82397
oyaml	2	1	1607275
panzi-json-logic	1	1	298578
pandocfilters	1	1	42195809
equinox	4	1	1295898
django-otp	2	1	2415779
version-parser	1	1	54301
repath	1	1	318057
pyvirtualdisplay	1	1	1826944
aiohttp-sse-client	2	1	132868
colored	2	1	1451368
geomet	3	1	6103527
humanfriendly	10	1	43820899
pygmars	1	1	67078
pyaml	3	1	6488462
schema-salad	4	1	375492
pytest-recording	1	1	3087825
jsbeautifier	4	1	6144948
striprtf	2	1	3365446
wordcloud	1	1	1774361
etuples	2	1	573289
tinyhtml5	2	1	7978885
flask-httpauth	1	1	2102010
realesrgan	1	1	122562
aioice	3	1	1550230
lightly	1	1	196081
soundcloud-v2	1	1	47746
doit	1	1	624947
faster-whisper	3	1	2788026
snowplow-tracker	2	1	17836643
hyppo	1	1	145118
pbr	60	1	25341499
albumentations	6	1	4666801
webdataset	3	1	1554274
telnetlib3	1	1	1155587
pytest-aio	1	1	81141
tree-sitter-python	3	1	4956481
sanic-routing	2	1	1734681
cloudsplaining	1	1	2305589
ensureconda	1	1	72494
scandir	1	1	2030354
controlnet-aux	1	1	331943
docutils-stubs	1	1	106489
vocos	1	1	284677
colour	4	1	2103532
transaction	8	1	774248
eccodes	4	1	617846
urlpy	1	1	69317
python-logstash-async	1	1	498965
aws-requests-auth	3	1	21218489
mixpanel	5	1	6768272
segtok	2	1	511049
keyrings-alt	3	1	2995279
azure-mgmt-postgresqlflexibleservers	2	1	5331136
pyfzf	1	1	668388
x690	1	1	150163
inspect2	2	1	81387
draccus	1	1	434564
reflex-hosting-cli	1	1	206946
pdfplumber	3	1	17191638
gspread	7	1	31574785
pamqp	1	1	3652246
pi-heif	1	1	1871635
alabaster	2	1	22405531
mecab-ko-dic	1	1	50384
tqdm-loggable	1	1	632026
json-strong-typing	2	1	118671
mdurl	5	1	281333630
azure-mgmt-recoveryservices	2	1	6870768
pycares	3	1	12810503
javaproperties	2	1	5826039
spandrel	2	1	2003221
extruct	1	1	262555
rouge-score	2	1	2212804
python-engineio	7	1	15015674
alibabacloud-sts20150401	1	1	110219
igwn-segments	6	1	142938
kagglehub	3	1	1821666
unitycatalog-langchain	1	1	920727
seedir	1	1	348265
opack2	1	1	178349
openinference-instrumentation-openai	3	1	1038794
srt	2	1	283932
libusbsio	1	1	205628
dash-bootstrap-components	6	1	2305607
expecttest	1	1	1090673
standard-telnetlib	1	1	148030
fastuuid	2	1	24339018
pytest-sugar	2	1	5112898
protoc-gen-openapiv2	3	1	1420690
pinecone	3	1	16734327
rjieba	1	1	183807
yamale	1	1	3388481
python-ldap	2	1	3925517
msgpack-numpy	1	1	576752
kr8s	1	1	449945
diagrams	2	1	5517780
awscli	4	1	300881335
pandas-stubs	4	1	66690038
async-generator	3	1	13966146
esp-idf-panic-decoder	2	1	86201
cffsubr	1	1	74500
types-certifi	1	1	24357509
tensorflow-datasets	6	1	1368808
arpeggio	2	1	4360675
fcache	1	1	1210071
alibabacloud-rds20140815	1	1	83064
zope-lifecycleevent	3	1	130398
rich-argparse	10	1	14901873
numcodecs	5	1	5183661
pydash	11	1	8630810
types-redis	1	1	13142968
click-help-colors	2	1	1533155
alibabacloud-gateway-oss-util	1	1	48112
donfig	2	1	3346693
snowflake	1	1	4295148
zstd	4	1	5442622
pandas-flavor	2	1	610931
opentelemetry-distro	2	1	15666132
peewee-migrate	1	1	282188
openinference-instrumentation-llama-index	2	1	272076
liccheck	1	1	961588
sqlite-vec	2	1	1479278
easy-thumbnails	1	1	397189
cdp-use	1	1	1471763
unitycatalog-openai	1	1	482726
pyinstaller	2	1	6158863
ibm-platform-services	1	1	935959
sphinxcontrib-jsmath	1	1	20239804
ta-lib	2	1	625758
contourpy	2	1	120786484
breadability	1	1	99244
tree-sitter-bash	1	1	2842761
envs	1	1	1260784
alibabacloud-sls20201230	1	1	77950
mp-pyrho	1	1	348283
piexif	2	1	2265435
py	6	1	56229904
aioquic	2	1	2608762
entrypoints	5	1	26300911
pyxlsb	1	1	6325882
publicsuffix2	3	1	6234053
alibabacloud-credentials	1	1	10222629
affine	5	1	2857002
ydiff	1	1	92431
pulp-glue	2	1	226549
asyncio-dgram	1	1	132358
commentjson	1	1	2339581
oqpy	1	1	95638
pyston-autoload	1	1	370737
voyageai	2	1	1455332
ydb	2	1	15936138
alibabacloud-vpc20160428	1	1	92594
jacobi	1	1	569105
qtconsole	4	1	2741300
diskcache-stubs	1	1	80173
hyperframe	5	1	69349181
braceexpand	4	1	2351400
nr-stream	1	1	501068
asgi-logger	1	1	356314
psycopg-binary	2	1	33426514
conllu	3	1	296200
resvg-py	1	1	885808
newick	1	1	54972
minikanren	1	1	570149
pulp	5	1	3276894
imutils	1	1	583168
azure-keyvault-keys	2	1	14703847
subprocrunner	1	1	90478
singledispatch	2	1	1725712
einshape	1	1	216332
lru-dict	5	1	2370586
curated-tokenizers	2	1	496251
py-builder-signing-sdk	2	1	562893
binary2strings	1	1	68534
hf-transfer	5	1	3281989
qwasm	1	1	70892
asteval	2	1	3504419
opentelemetry-instrumentation-system-metrics	4	1	5052775
click-shell	2	1	80032
pyric	1	1	91226
gpsoauth	2	1	275913
pyphen	3	1	13336949
wget	9	1	2366468
hiredis	2	1	14780840
sqlite-migrate	1	1	195403
cufile-python	1	1	135328
pathos	4	1	17772400
tavily-python	2	1	3351644
cacheout	2	1	590619
sqlalchemy-redshift	3	1	4200678
supervisor	2	1	6000167
python-oxmsg	2	1	2969742
rfc3986	10	1	29755365
biopython	2	1	7525209
tracerite	1	1	1564572
pylsqpack	2	1	2572766
mkdocs-material-extensions	1	1	12574507
streamlit-agraph	1	1	221134
placebo	1	1	175622
k-diffusion	1	1	145848
yattag	1	1	881072
application-properties	1	1	1301581
fasttext-predict	1	1	613344
django-lifecycle	1	1	151142
httpr	1	1	49174
imagesize	4	1	22734631
setenvironment	1	1	98165
grandalf	1	1	1928800
publicsuffixlist	2	1	890810
autowrapt	2	1	221338
alibabacloud-sas20181203	1	1	84165
azure-ai-projects	5	1	6703521
pyluach	1	1	2689643
meshcat	2	1	229454
ansys-pythonnet	1	1	66682
exa-py	2	1	2086594
gspread-formatting	2	1	1041108
jupyter-packaging	1	1	1119265
zope-event	11	1	26005183
rarfile	2	1	907447
taskcluster-urls	2	1	597138
onigurumacffi	1	1	119082
sqlalchemy-databricks	1	1	447665
etils	12	1	4489394
opentelemetry-instrumentation-httpx	4	1	21356444
azure-mgmt-security	2	1	5413632
asteroid-filterbanks	1	1	1351343
phik	1	1	924661
lightning-utilities	4	1	8910287
contextlib2	7	1	9475854
kim-property	1	1	186951
dqsegdb2	1	1	107750
pydeprecate	1	1	530789
fpdf	1	1	4398375
jupyterlab-pygments	1	1	41941216
pyston	2	1	372276
stack-data	1	1	80661509
openlineage-integration-common	4	1	7506663
cliff	13	1	1023550
flagsmith-flag-engine	1	1	617408
sqlfluff	2	1	7891390
paginate	1	1	11553181
google-search-results	3	1	1250089
myst-parser	3	1	5570578
hjson	5	1	5235608
types-cachetools	4	1	19112401
earthengine-api	3	1	356637
fastapi-events	1	1	106161
rf100vl	1	1	122963
azure-mgmt-sql	2	1	7232828
odc-geo	2	1	91356
cint	1	1	728992
olefile	6	1	9663600
htmltools	4	1	502809
idapro	1	1	51654
autopep8	4	1	7552076
opentelemetry-instrumentation-sqlalchemy	4	1	11865586
uv-iso-env	2	1	100010
airbyte-protocol-models-pdv2	1	1	286153
aws-xray-sdk	1	1	17491886
ipython-genutils	2	1	7523964
ptable	1	1	269979
aiohttp-swagger3	1	1	74674
netutils	3	1	323387
gspread-dataframe	1	1	3152247
pydantic-tes	1	1	75328
jinja2-ansible-filters	1	1	956549
trio-websocket	4	1	33566366
writer-sdk	1	1	260324
json-log-formatter	1	1	2398858
injector	2	1	2621144
simple-parsing	3	1	2943356
disklru	1	1	108097
py-serializable	1	1	9146267
nr-date	1	1	489740
prance	3	1	4603103
modelscope	5	1	2363168
automat	2	1	8693344
agent-client-protocol	2	1	1779230
rsa	10	1	374741833
djangorestframework-queryfields	1	1	61596
torchao	3	1	1811384
torchdiffeq	1	1	838204
a2wsgi	2	1	7074749
makefun	5	1	15409992
chz	1	1	634405
orbax-export	1	1	669027
noiseprotocol	2	1	270771
pytorch-lightning	8	1	9570438
sslpsk-pmd3	1	1	171125
mccabe	6	1	70702243
napari-plugin-engine	1	1	124166
discord-py	2	1	2933463
azure-mgmt-rdbms	2	1	7215390
azure-mgmt-applicationinsights	2	1	6817260
application-file-scanner	1	1	395808
stringparser	1	1	101842
opentelemetry-resource-detector-azure	2	1	8902373
bitarray	10	1	19643451
functions-framework	1	1	6221072
sphinxcontrib-applehelp	1	1	20700689
betterproto	4	1	3455982
fiona	3	1	5460409
korean-lunar-calendar	1	1	4603472
datetime	5	1	12403279
decli	1	1	2328135
biotraj	1	1	3096199
ase-db-backends	1	1	366938
gritql	1	1	64789
cloudpathlib	2	1	16285880
cached-path	5	1	633153
pymupdf	13	1	36072889
priority	1	1	3892869
moderngl	2	1	352870
rpy2	1	1	329204
bindep	2	1	499677
scikeras	1	1	282995
vertica-python	4	1	4244493
devpi-server	1	1	157935
lz4	19	1	64071708
pyprojroot	1	1	172033
unicorn	1	1	501271
doublemetaphone	2	1	317608
macholib	2	1	2446071
django-timezone-utils	1	1	175084
youtube-transcript-api	3	1	18220079
fastexcel	1	1	2100597
python-iso639	2	1	3936045
adbc-driver-manager	6	1	2327973
llama-index-embeddings-azure-openai	1	1	392049
llama-index-workflows	3	1	3956069
jwcrypto	8	1	16332038
flytekit	1	1	427211
awsipranges	1	1	107097
first	1	1	492530
sphinxcontrib-devhelp	1	1	20693358
lunr	1	1	203702
types-httplib2	1	1	2540469
ropgadget	1	1	184461
dparse	2	1	4002044
docrep	1	1	59051
azure-ai-agents	4	1	6182550
svgelements	1	1	284971
segno	3	1	1033789
tinynetrc	1	1	177608
mediapipe	1	1	1972462
asyncmy	1	1	438931
pycparser	9	1	625696446
pyrsistent	3	1	37376078
tree-sitter-embedded-template	2	1	4870046
pybars3	1	1	259989
plotille	1	1	295549
nvtx	4	1	606457
alibabacloud-cs20151215	1	1	83463
pysingleton	1	1	119838
python-gdcm	2	1	283352
ibm-cloud-sdk-core	7	1	5457148
poly-eip712-structs	2	1	608927
parsedatetime	2	1	23974215
weaviate-client	2	1	22220002
tf-keras	5	1	4108883
logical-unification	3	1	569067
resourcebundle	1	1	74436
codemod	1	1	71067
marko	2	1	3252827
python-mimeparse	2	1	569802
dpkt	2	1	831558
nixl-cu12	1	0	587182
fuzzywuzzy	2	0	14879198
oslex	1	0	260538
pymorphy3-dicts-ru	1	0	259102
aws-sso-lib	1	0	184922
snowpark-connect-deps-2	1	0	254069
colour-runner	1	0	80677
aws-cryptography-internal-standard-library	1	0	131553
evdev	1	0	756071
trec-car-tools	1	0	663686
apache-airflow-providers-smtp	2	0	9563333
pyobjc-framework-videotoolbox	1	0	444416
opentelemetry-propagator-b3	1	0	2528440
yamlordereddictloader	1	0	289250
surya-ocr	1	0	306502
soynlp	1	0	100415
nvidia-cusolver-cu12	1	0	40569738
premailer	2	0	4128841
bencode-py	1	0	140431
ssc4onnx	1	0	104018
mercantile	1	0	863097
azure-synapse-accesscontrol	1	0	5184135
django-waffle	4	0	1196664
warlock	1	0	278851
valohai-yaml	1	0	135486
code-annotations	3	0	122461
anchorpy-core	2	0	53598
quack-kernels	1	0	440209
ldapdomaindump	1	0	821229
pyturbojpeg	1	0	137091
tableauhyperapi	1	0	1246517
pytest-picked	1	0	406468
genie-libs-filetransferutils	1	0	139270
zhinst-timing-models	1	0	53493
azure-mgmt-cognitiveservices	1	0	7133176
three-merge	1	0	67396
requests-hawk	1	0	69840
gcloud-aio-storage	1	0	28617666
kylinpy	1	0	1857421
remotezip2	1	0	180505
wordninja	1	0	859342
pyobjc-framework-iobluetoothui	1	0	435747
plyer	2	0	160008
pytest-freezer	1	0	778522
python-keystoneclient	6	0	807889
beniget	1	0	547875
azure-graphrbac	1	0	4396061
flupy	1	0	1244377
winrt-windows-storage-streams	1	0	105794
pfzy	1	0	3794220
pytest-embedded	3	0	78975
zhon	2	0	526915
mplcursors	1	0	1221500
nvidia-cusparse	1	0	321199
invoke	3	0	60022501
autogluon-common	4	0	551625
simple-websocket	2	0	14757715
pytkdocs	1	0	125429
eckitlib	2	0	373170
js2py-3-13	1	0	71159
pyobjc-framework-corehaptics	1	0	437373
bump2version	1	0	1515951
libcudf-cu12	2	0	205950
lovely-numpy	1	0	100647
pyobjc-framework-coreaudiokit	1	0	446877
akracer	1	0	244027
pybboxes	1	0	183447
botoinator	1	0	73851
azure-storage-common	1	0	10340768
pylibraft-cu12	2	0	159092
construct-classes	1	0	140206
graphene-django	3	0	1020103
types-qrcode	1	0	682149
apache-airflow-providers-postgres	1	0	2317398
pebble	2	0	938390
xdg	4	0	548553
proces	1	0	201550
pytest-variables	1	0	405198
apache-airflow-providers-cncf-kubernetes	1	0	19468463
keras-nightly	2	0	264826
azureml-train-automl-client	3	0	344623
paragraphs	1	0	134443
pyobjc-framework-notificationcenter	1	0	445021
kt-legacy	1	0	729718
pylibiio	1	0	212060
pglast	1	0	1792868
pyobjc-framework-corelocation	3	0	458611
pyobjc-framework-healthkit	1	0	437948
pycadf	1	0	182328
kiwipiepy-model	1	0	60640
azure-keyvault-certificates	1	0	13234045
s3torchconnectorclient	1	0	211768
openmeteo-sdk	1	0	529635
bech32	2	0	325149
x25519	1	0	124942
tf-nightly	2	0	447431
ydf	1	0	231732
bottle-websocket	1	0	97355
snowpark-connect-deps-1	1	0	254034
nvidia-cuda-cccl-cu12	1	0	725308
aws-msk-iam-sasl-signer-python	1	0	1586323
azure-datalake-store	3	0	21960806
boto-session-manager	1	0	678803
asyncio-pool	1	0	182004
oletools	2	0	1541955
win-inet-pton	3	0	112121
djc-core	1	0	50489
geode-simplex	1	0	103352
git-python	1	0	533486
pyobjc-framework-symbols	1	0	429687
rebulk	1	0	98965
gprofiler-official	1	0	1651742
opentelemetry-instrumentation-urllib	4	0	22732387
stomp-py	1	0	862484
raiutils	1	0	57915
pynini	1	0	163686
edx-i18n-tools	2	0	109036
types-greenlet	1	0	1427024
tos	1	0	123715
scs4onnx	1	0	104068
sparqlwrapper	1	0	1062001
comfyui-workflow-templates-media-api	1	0	1901144
databento-dbn	1	0	353680
rdata	1	0	80251
opentelemetry-processor-baggage	1	0	1496427
behavex	1	0	98021
bitmath	2	0	261498
sumtypes	2	0	78000
pyobjc-framework-authenticationservices	1	0	443415
gemmi	1	0	308106
json-logic	1	0	2685920
py-markdown-table	2	0	637298
types-grpcio	3	0	2298014
runtype	2	0	114961
sbvirtualdisplay	1	0	579751
kosong	1	0	232011
assemblyline	5	0	115537
datefinder	1	0	3289727
gruut-lang-en	1	0	124174
sox	3	0	787338
azure-mgmt-redis	1	0	8946883
pyglet	4	0	1226852
chess	1	0	2052833
jupyter-cache	1	0	715671
pdfminer2	1	0	62281
pyobjc-framework-network	1	0	444180
pynput-robocorp-fork	1	0	369368
databackend	1	0	55653
pyodps	1	0	3256935
pyobjc-framework-dictionaryservices	1	0	419794
click-repl	2	0	33190871
sbi4onnx	1	0	103787
apache-airflow-core	1	0	4677944
sphinx-multitoc-numbering	1	0	189337
tensorflow-estimator	2	0	9638447
aws-cdk-aws-logs	3	0	161726
azure-mgmt-msi	1	0	13133943
cheap-repr	1	0	215529
class-resolver	1	0	61457
pyobjc-framework-fileproviderui	1	0	437254
unsloth-zoo	1	0	710421
pyobjc-framework-adservices	1	0	436498
pyobjc-framework-scenekit	1	0	445397
ascii-colors	1	0	123072
multimapping	1	0	98162
huaweicloudsdkcore	1	0	100087
requests-negotiate-sspi	1	0	92438
cmdkit	1	0	68825
py-moneyed	1	0	785945
oslo-utils	45	0	1351628
cloudcheck	1	0	93821
pyobjc-framework-inputmethodkit	1	0	426080
django-environ	1	0	5012663
event-tracking	2	0	90953
mac-alias	3	0	85791
nvidia-cuda-cupti-cu12	1	0	39882185
recognizers-text-date-time	1	0	52082
ciscoconfparse	1	0	194710
django-celery-results	1	0	3830962
pyside6	1	0	1591876
pydocstyle	1	0	4370717
trafilatura	2	0	3625732
robotframework-seleniumlibrary	4	0	1549092
jpype1	6	0	17432030
arxiv	1	0	2727361
pyrfc6266	1	0	81199
vonage-users	1	0	135353
aws-cdk-aws-sqs	1	0	152178
scrapbook	1	0	3267521
nvidia-cuda-runtime	1	0	392868
promptflow	1	0	113702
genie	4	0	157016
keyname	1	0	123297
pyobjc-framework-naturallanguage	1	0	438372
vonage-jwt	1	0	242153
ckzg	3	0	5371815
django-config-models	3	0	98082
unitycatalog-ai	2	0	924167
opentelemetry-instrumentation-pymysql	2	0	1590522
geojson-pydantic	3	0	714207
cachier	1	0	300753
tb-nightly	2	0	712072
flask-openapi3	4	0	1705395
html-text	1	0	1610331
azureml-dataset-runtime	5	0	498358
flask-caching	3	0	7682689
pymssql	3	0	37662666
apache-airflow-providers-standard	1	0	2828016
pyqrcode	1	0	430945
tensorrt-cu13-bindings	2	0	133723
lakefs-sdk	2	0	2215273
os-ken	2	0	106020
envparse	1	0	209343
intel-sycl-rt	1	0	114179
chialisp-loader	1	0	107536
tinydb	2	0	2004115
pysmi	1	0	1507112
opentelemetry-instrumentation-pika	2	0	1913322
cli-ui	1	0	190414
lsprotocol	4	0	1271445
django-migration-linter	1	0	754518
suds-jurko	1	0	102782
uiautomation	1	0	90234
requests-oauth2client	1	0	486468
opentelemetry-instrumentation-pyramid	3	0	1455070
django-oauth-toolkit	2	0	3041889
ai4ts	1	0	99643
volcengine	1	0	140940
flask-restful	1	0	3439014
ml-wrappers	1	0	56649
shippinglabel	1	0	153997
pynwb	2	0	168810
biocommons-seqrepo	1	0	66666
zope-datetime	1	0	94542
pyobjc-framework-corewlan	1	0	447285
py-mini-racer	1	0	364594
fastremap	2	0	113093
ultimate-hosts-blacklist-whitelist	1	0	63292
cypari	1	0	95075
cutensor-cu13	2	0	82428
folium	5	0	2822672
more-click	2	0	65380
phonenumberslite	1	0	2820513
opengeode-inspector	3	0	70546
empty-files	1	0	89557
colcon-core	9	0	205112
nvidia-cuda-cccl	1	0	140376
hypothesis-jsonschema	1	0	1327367
nvidia-ml-py3	1	0	532439
mkdocs-monorepo-plugin	1	0	2755405
py-vapid	1	0	1793212
demjson3	1	0	313067
macaddress	1	0	151404
py-solc-x	1	0	92258
yfinance	3	0	11779487
pyvis	1	0	1812977
fastwarc	1	0	684075
y-py	1	0	1210159
futurist	8	0	269212
apache-flink-libraries	1	0	99467
opentelemetry-instrumentation-boto	2	0	1482167
yappi	2	0	2790322
phonopy	2	0	656069
rstcheck	2	0	770992
maplibre	1	0	78927
osprofiler	4	0	193759
thriftpy2	2	0	6957206
temporalio	1	0	17706426
pyobjc-framework-securityinterface	1	0	446842
azure-cosmosdb-nspkg	1	0	2549843
sqlalchemy-cratedb	1	0	51412
bigtree	1	0	358086
labmaze	1	0	190112
mo-kwargs	1	0	96103
daytona	2	0	976399
pinotdb	1	0	13409280
cchecksum	4	0	108121
classify-imports	2	0	288687
pksuid	1	0	233357
ucxx-cu12	1	0	129360
oslo-versionedobjects	3	0	130861
bagit-profile	1	0	81775
kivy-garden	1	0	229524
casttube	1	0	68826
mf2py	1	0	264946
openai-whisper	1	0	1456349
microsoft-kiota-serialization-multipart	3	0	5812657
aiohttp-jinja2	1	0	1515577
nvidia-nccl-cu12	4	0	54217331
types-setuptools	2	0	24254420
django-tree-queries	1	0	281744
lockfile	6	0	23473464
vertexai	1	0	4618481
pydrive	1	0	428099
gamma-pytools	1	0	121452
azure-schemaregistry	1	0	2492964
trie	1	0	249189
dagster	4	0	4538071
winrt-windows-foundation	2	0	118595
azureml-dataprep-rslex	1	0	640672
jupyter-console	1	0	14498779
powerfx	1	0	198886
openinference-instrumentation-openai-agents	1	0	340778
keystonemiddleware	1	0	201458
pyngrok	1	0	1219518
cudf-cu12	2	0	185509
atomate	1	0	342383
kaldifst	1	0	124515
dogpile-cache	4	0	2098695
sap-ai-sdk-base	1	0	81270
safe-assert	1	0	115269
geopy	2	0	12935183
llama-cloud-services	1	0	27532105
dwave-cloud-client	2	0	69033
zdaemon	1	0	65159
pyobjc-framework-applescriptkit	3	0	487536
ptpython	1	0	1720784
face-recognition-models	1	0	99462
aws-cdk-aws-sns-subscriptions	1	0	133545
opentelemetry-instrumentation-elasticsearch	2	0	1589048
torch-runstats	1	0	373299
inputs	1	0	87856
pettingzoo	1	0	274299
semantic-link-functions-geopandas	1	0	265369
glom	2	0	12582464
fastavro	11	0	33024802
ansicolors	1	0	5389015
sagemaker-mlflow	1	0	3083885
nacos-sdk-python	1	0	1482876
pycnite	1	0	446424
mo-future	5	0	230469
b2sdk	1	0	363034
certvalidator	2	0	1273182
marshmallow-jsonschema	1	0	1286026
prefixed	1	0	622090
crccheck	2	0	1140148
azure-mgmt-servicebus	1	0	7061704
giving	1	0	94218
avro	6	0	13572754
autopage	1	0	976151
tensorflow-serving-api	2	0	5686757
microsoft-kiota-serialization-text	4	0	9693938
zipstream-new	1	0	192390
sklearn-crfsuite	1	0	308191
tonyg-rfc3339	1	0	1579292
prompthub-py	1	0	51410
clarifai	1	0	175920
intuit-oauth	2	0	789861
downstream	1	0	137380
plink	1	0	93940
mkdocstrings	3	0	6576375
jupyter-contrib-core	1	0	271914
py-rust-stemmers	1	0	1573177
passagemath-categories	4	0	87231
unicodecsv	5	0	6332319
django-extensions	3	0	9640808
fishersrc	1	0	55650
catkin-pkg	2	0	647704
borb	1	0	386382
nvidia-cublas	3	0	784407
torch-memory-saver	1	0	358224
mo-imports	3	0	226436
paypalhttp	1	0	1003481
pyats-results	5	0	235055
hbutils	1	0	50373
azure-synapse-spark	2	0	8737563
pyobjc-framework-devicecheck	1	0	437444
daff	1	0	17715614
the-utility-belt	1	0	62518
teradataml	1	0	393238
papermill	1	0	5381326
pyudorandom	1	0	273231
ansimarkup	1	0	123500
django-annoying	1	0	295066
gruut-ipa	1	0	123733
thefuzz	3	0	6586028
databricks-sql-connector	6	0	57669875
zope-processlifetime	1	0	105504
aws-lambda-builders	1	0	1454449
guardrails-api-client	2	0	137138
espeakng-loader	1	0	226608
gnureadline	1	0	599983
flex	1	0	82850
nvidia-cutlass-dsl-libs-base	1	0	658164
pyobjc-framework-ituneslibrary	1	0	438628
ruyaml	1	0	1014448
diffq	1	0	75468
pyobjc-framework-executionpolicy	1	0	437317
pysmi-lextudio	1	0	98494
piccolo	2	0	219534
sit4onnx	1	0	104051
saliency	1	0	106288
pyobjc-framework-extensionkit	1	0	437900
pysher	2	0	394433
salesforce-bulk	1	0	3381624
pycomposefile	1	0	5711416
pyobjc-framework-installerplugins	1	0	441686
inflector	1	0	1846849
apache-airflow-providers-ssh	1	0	14428616
spo4onnx	1	0	103867
pyobjc-framework-sharedwithyou	1	0	437629
langchain-tavily	1	0	495546
blosc2	2	0	3215435
banks	1	0	3196953
tcmlib	2	0	1084140
setoptconf-tmp	1	0	380737
tree-sitter-go	1	0	2054920
plotly-resampler	1	0	430456
