rank	name	verdict	download_count	n_direct_deps	n_in_dataset	n_tp	n_notp	n_unk	dep_tp_ratio
899	wasabi	notp	15591682	2	2	1	1	0	0.5
900	watchtower	tp	15551996	1	1	0	1	0	0.0
901	keras	notp	15549255	8	8	5	3	0	0.625
902	fastapi-cloud-cli	tp	15530762	10	10	6	4	0	0.6
903	python-daemon	notp	15508457	1	1	0	1	0	0.0
904	pybase64	tp	15492267						
905	azure-storage-file-share	notp	15445718	4	4	2	2	0	0.5
906	pyathena	tp	15431980	5	5	1	4	0	0.2
907	makefun	notp	15409992	1	1	0	1	0	0.0
908	pickleshare	notp	15408195	1	1	0	1	0	0.0
909	factory-boy	notp	15385689	1	1	0	1	0	0.0
910	azure-mgmt-containerservice	notp	15324862	3	3	1	2	0	0.3333333333333333
911	pydub	notp	15261984						
912	pyproject-api	tp	15202951	2	2	1	1	0	0.5
913	spacy-legacy	notp	15199053	1	1	1	0	0	1.0
914	torchaudio	notp	15119089	1	1	0	1	0	0.0
915	tritonclient	notp	15040403	3	3	2	1	0	0.6666666666666666
916	python-socketio	notp	15032489	2	2	0	2	0	0.0
917	google-generativeai	notp	15023385	8	8	7	1	0	0.875
918	python-engineio	notp	15015674	1	1	0	1	0	0.0
919	spacy-loggers	notp	15013654						
920	fastparquet	notp	15000140	5	5	4	1	0	0.8
921	docopt	notp	14983509						
922	backcall	notp	14969607						
923	parameterized	notp	14933947						
924	ty	tp	14922592						
925	amazon-ion	tp	14916914						
926	clickhouse-connect	notp	14915207	7	7	3	4	0	0.42857142857142855
927	rich-argparse	notp	14901873	1	1	0	1	0	0.0
928	pydot	notp	14896377	1	1	0	1	0	0.0
929	fuzzywuzzy	notp	14879198						
930	python-gnupg	notp	14861213						
931	fire	notp	14849592	1	1	1	0	0	1.0
932	immutabledict	tp	14832043						
933	apache-airflow-providers-common-compat	notp	14809043	2	2	0	2	0	0.0
934	hiredis	notp	14780840						
935	grpcio-gcp	notp	14770844	1	1	0	1	0	0.0
936	simple-websocket	notp	14757715	1	1	0	1	0	0.0
937	geopandas	tp	14746801	6	6	4	2	0	0.6666666666666666
938	xarray	tp	14743236	3	3	3	0	0	1.0
939	azure-keyvault-keys	notp	14703847	4	4	2	2	0	0.5
940	bandit	tp	14689879	4	4	0	4	0	0.0
941	python-discovery	tp	14682862						
942	unidiff	notp	14662337						
943	cmake	tp	14639356						
944	apache-airflow-providers-mysql	notp	14615675	6	6	1	5	0	0.16666666666666666
945	rignore	notp	14517055						
946	jupyter-console	notp	14498779	8	8	6	2	0	0.75
947	jupyter	notp	14437307	6	6	3	3	0	0.5
948	apache-airflow-providers-ssh	notp	14428616	5	5	0	5	0	0.0
949	soundfile	notp	14418182	2	2	1	1	0	0.5
950	mkdocs-material	tp	14410785	11	11	6	5	0	0.5454545454545454
951	confection	tp	14404293	2	2	2	0	0	1.0
952	boltons	notp	14344398						
953	django-cors-headers	tp	14323856	2	2	0	2	0	0.0
954	geoip2	tp	14314240	3	3	3	0	0	1.0
955	resolvelib	tp	14308742						
956	wtforms	tp	14305739	1	1	1	0	0	1.0
957	pinecone-plugin-assistant	notp	14299032	2	2	2	0	0	1.0
958	pgvector	notp	14284738	1	1	1	0	0	1.0
959	pydeequ	notp	14230676	2	2	2	0	0	1.0
960	py-spy	notp	14208362						
961	cohere	notp	14184304	6	6	3	3	0	0.5
962	apache-airflow-providers-http	notp	14118473	6	6	2	4	0	0.3333333333333333
963	twilio	notp	14104805	4	4	3	1	0	0.75
964	mkdocs	tp	14102064	14	14	7	7	0	0.5
965	segment-analytics-python	notp	14088862	4	4	2	2	0	0.5
966	databricks-cli	notp	14082641						
967	apache-airflow-providers-google	notp	14068135	74	74	50	24	0	0.6756756756756757
968	google-ai-generativelanguage	tp	14027490	7	7	2	5	0	0.2857142857142857
969	jaydebeapi	notp	14020850	2	2	0	2	0	0.0
970	av	notp	13966997						
971	async-generator	notp	13966146						
972	onnx	tp	13953122	4	4	3	1	0	0.75
973	flask-wtf	tp	13943449	3	3	3	0	0	1.0
974	nvidia-ml-py	notp	13790686						
975	astunparse	notp	13789670	2	2	1	1	0	0.5
976	types-cffi	notp	13726027	1	1	0	1	0	0.0
977	ghp-import	notp	13661981						
978	pydantic-graph	tp	13629041	4	4	3	1	0	0.75
979	diff-cover	notp	13624742	4	4	3	1	0	0.75
980	pyyaml-env-tag	tp	13610155	1	1	0	1	0	0.0
981	avro	notp	13572754						
982	caio	tp	13525834						
