rank	name	version	summary	uploaded_via	upload_time	filename	recent_7d_downloads	github_url	verdict
31	pydantic-core	2.41.5	Core functionality for Pydantic validation and serialization	uv/0.9.7	2025-11-04T13:43:49.098415	pydantic_core-2.41.5.tar.gz	0	https://github.com/pydantic/pydantic-core	tp
32	pytest	9.0.2	pytest: simple powerful testing with Python	twine/6.1.0 CPython/3.13.7	2025-12-06T21:30:51.014628	pytest-9.0.2.tar.gz	39263748	https://github.com/pytest-dev/pytest	tp
33	anyio	4.12.1	High-level concurrency and networking framework on top of asyncio or Trio	twine/6.1.0 CPython/3.13.7	2026-01-06T11:45:21.246706	anyio-4.12.1.tar.gz	82425032	https://github.com/agronholm/anyio	tp
34	markupsafe	3.0.3	Safely add untrusted strings to HTML/XML markup.	twine/6.1.0 CPython/3.13.7	2025-09-27T18:37:40.426446	markupsafe-3.0.3.tar.gz	0	https://github.com/pallets/markupsafe	tp
35	h11	0.16.0	A pure-Python, bring-your-own-I/O implementation of HTTP/1.1	twine/6.1.0 CPython/3.11.6	2025-04-24T03:35:25.427659	h11-0.16.0.tar.gz	98960130	https://github.com/python-hyper/h11	notp
36	iniconfig	2.3.0	brain-dead simple config-ini parsing	twine/6.1.0 CPython/3.13.7	2025-10-18T21:55:43.219048	iniconfig-2.3.0.tar.gz	66538005	https://github.com/pytest-dev/iniconfig	tp
37	platformdirs	4.9.2	A small Python package for determining appropriate platform-specific dirs, e.g. a `user data dir`.	twine/6.1.0 CPython/3.13.7	2026-02-16T03:56:10.574965	platformdirs-4.9.2.tar.gz	61336023	https://github.com/tox-dev/platformdirs	tp
38	jmespath	1.1.0	JSON Matching Expressions	twine/6.2.0 CPython/3.12.3	2026-01-22T16:35:26.279695	jmespath-1.1.0.tar.gz	63040468	https://github.com/jmespath/jmespath.py	notp
39	wheel	0.46.3	Command line tool for manipulating wheel files	twine/6.1.0 CPython/3.13.7	2026-01-22T12:39:49.136819	wheel-0.46.3.tar.gz	79495589	https://github.com/pypa/wheel	tp
40	annotated-types	0.7.0	Reusable constraint types to use with typing.Annotated	twine/5.1.0 CPython/3.10.14	2024-05-20T21:33:25.928805	annotated_types-0.7.0.tar.gz	99269861	https://github.com/annotated-types/annotated-types	notp
