rank	name
951	confection
953	django-cors-headers
954	geoip2
955	resolvelib
956	wtforms
964	mkdocs
968	google-ai-generativelanguage
972	onnx
973	flask-wtf
978	pydantic-graph
980	pyyaml-env-tag
982	caio
983	azure-kusto-data
985	configargparse
990	realtime
991	apispec
992	testcontainers
1001	prek
1003	weasyprint
1009	json-repair
1010	langchain-classic
1013	face
1020	aiohttp-cors
1026	kfp
1027	langcodes
1034	mkdocs-get-deps
1035	aiodns
1036	faiss-cpu
1037	langchain-anthropic
1039	jaxlib
1044	optuna
1046	weasel
1048	openai-agents
1053	pydantic-ai
1057	langfuse
1059	incremental
1065	shap
1067	pytest-django
1069	gradio
1073	datamodel-code-generator
1074	hydra-core
1082	pooch
1085	hatch
1095	firebase-admin
1096	html2text
1104	supabase
1109	pyogrio
1111	pybreaker
1121	backports-asyncio-runner
1125	flask-session
1126	meson-python
1127	aiomysql
1128	pydyf
1130	storage3
1136	sqlmodel
1139	cadwyn
1140	postgrest
1142	yt-dlp
1143	synchronicity
1145	backrefs
1148	ftfy
1149	pyproject-metadata
1153	pyrfc3339
1157	maturin
1161	packageurl-python
1162	ansible
1163	service-identity
1164	pyinstrument
1167	cyclonedx-python-lib
1169	modal
1172	wirerope
1176	torchmetrics
1180	twisted
1199	requirements-parser
1211	prefect
1213	patchelf
1214	truststore
1216	flit
1219	aiolimiter
1223	binaryornot
1230	pypika
1240	langchain-google-genai
1242	soxr
1247	ddsketch
1248	unearth
1250	marshmallow-sqlalchemy
1255	supabase-auth
1256	smbprotocol
1258	pep517
1259	python-on-whales
1261	supabase-functions
1266	constantly
1267	pytest-repeat
1269	nodejs-wheel-binaries
1272	roman-numerals
1276	pandera
1278	dbt-snowflake
1285	pymsteams
1286	pdm
1288	cmdstanpy
1290	google-cloud-storage-control
1291	whitenoise
1294	skops
1296	workos
1303	kaitaistruct
1311	google-re2
1314	prophet
1317	motor
1320	backports-datetime-fromisoformat
1322	dep-logic
1323	slackclient
1330	langchain-aws
1332	pydantic-evals
1337	pipx
1342	langgraph-api
1344	ollama
1350	requests-cache
1354	cookiecutter
1356	azure-kusto-ingest
1360	cloud-sql-python-connector
1361	librosa
1362	click-default-group
1363	setuptools-rust
1370	hatch-fancy-pypi-readme
1371	pipdeptree
1375	arro3-core
1381	sqlalchemy-jsonfield
1382	logfire-api
1383	gradio-client
1391	aiokafka
1401	cytoolz
1423	pypandoc-binary
1425	google-cloud-alloydb
1429	fireworks-ai
1433	parse-type
1436	uvicorn-worker
1439	ultralytics
1442	icdiff
1443	constructs
1446	pip-api
1455	pip-audit
1456	audioread
1462	wikipedia-api
1478	asana
1480	ansible-lint
1481	django-debug-toolbar
1483	backports-strenum
1485	google-cloud-managedkafka
1490	slack-bolt
1494	kaleido
1498	pyhcl
1510	genai-prices
1516	langchain-google-community
1524	urwid
1529	scikit-build-core
1535	django-stubs-ext
1539	logfire
1540	pytest-icdiff
1541	sphinx-autodoc-typehints
1544	polyfactory
1546	google-cloud-iam
1548	w3lib
1549	dependency-injector
1551	logbook
1554	eventlet
1565	dependency-groups
1567	google-cloud-pubsublite
1573	pikepdf
1576	jsonpath-python
1592	sounddevice
1600	django-stubs
1608	asyncer
1617	sql-metadata
1634	win32-setctime
1638	fpdf2
1642	autoflake
1644	blake3
1645	cerberus
1647	marshmallow-oneofschema
1649	google-cloud-trace
1657	aws-cdk-asset-awscli-v1
1658	pyzstd
1676	google-cloud-discoveryengine
1684	pyfakefs
1686	sphinx-autoapi
1688	strands-agents
1689	datasketch
1692	pyclipper
1702	line-bot-sdk
1703	python-backoff
1712	prefect-aws
1713	django-celery-beat
1715	openapi-core
1717	pycurl
1719	tree-sitter-language-pack
1720	dbt-postgres
1723	autograd
1725	atpublic
1731	rtree
1732	vulture
1735	google-cloud-bigquery-biglake
1737	bitsandbytes
1738	moviepy
1739	sentinels
1740	catboost
1742	pytest-randomly
1743	pyahocorasick
1747	pyppmd
1749	anytree
1750	json-merge-patch
1754	nox
1757	ffmpy
1761	dbt-spark
1763	zarr
1768	py7zr
1770	svcs
1772	rustworkx
1773	safety
1777	language-data
1783	dspy
1785	pyhanko
1797	environs
1798	deptry
1799	pybcj
1804	google-analytics-data
1805	tox-uv
1810	pyhamcrest
1813	openai-harmony
1815	inflate64
1821	google-cloud-recommendations-ai
1822	selectolax
1823	flax
1824	behave
1832	xgrammar
1839	partial-json-parser
1842	unstructured
1845	hishel
1851	kfp-pipeline-spec
1853	yaspin
1854	biotite
1858	proglog
1862	ultralytics-thop
1863	pynamodb
1864	magika
1867	cupy-cuda12x
1875	databricks-labs-lsql
1876	parsel
1877	docling
1883	llguidance
1887	pypandoc
1898	pytest-order
1906	regress
1911	hypercorn
1913	pyyaml-ft
1915	pex
1916	terminaltables
1922	pint
1923	bedrock-agentcore
1925	aws-cdk-asset-node-proxy-agent-v6
1929	a2a-sdk
1930	gssapi
1931	github3-py
1932	mbstrdecoder
1935	langchain-mcp-adapters
1936	trimesh
1941	legacy-cgi
1942	parver
1945	swagger-ui-bundle
1948	pyenchant
1950	typepy
1952	dbt-bigquery
1955	pyrate-limiter
1962	bc-detect-secrets
1969	pytest-subtests
1970	audioop-lts
1971	txaio
1972	social-auth-core
1974	presidio-analyzer
1978	svglib
